"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"UzChess Cup Challengers",2025-06-21,"Suyarov,Mukhammadzokhid","Hong,Andrew","0-1",2490,2589
"UzChess Cup Challengers",2025-06-21,"Sivuk,V","Theodorou,Nikolas","0-1",2522,2613
"UzChess Cup Challengers",2025-06-21,"Madaminov,Mukhiddin","Ma Qun","1-0",2536,2630
"UzChess Cup Challengers",2025-06-21,"Tokhirjonova,Gulrukhbegim","Ivanchuk,V","0-1",2370,2634
"UzChess Cup Challengers",2025-06-21,"Vakhidov,J","Abasov,N","1/2-1/2",2539,2594
"UzChess Cup Challengers",2025-06-22,"Hong,Andrew","Abasov,N","1-0",2589,2594
"UzChess Cup Challengers",2025-06-22,"Ivanchuk,V","Vakhidov,J","0-1",2634,2539
"UzChess Cup Challengers",2025-06-22,"Ma Qun","Tokhirjonova,Gulrukhbegim","1/2-1/2",2630,2370
"UzChess Cup Challengers",2025-06-22,"Theodorou,Nikolas","Madaminov,Mukhiddin","1-0",2613,2536
"UzChess Cup Challengers",2025-06-22,"Suyarov,Mukhammadzokhid","Sivuk,V","1/2-1/2",2490,2522
"UzChess Cup Challengers",2025-06-23,"Sivuk,V","Hong,Andrew","1/2-1/2",2522,2589
"UzChess Cup Challengers",2025-06-23,"Madaminov,Mukhiddin","Suyarov,Mukhammadzokhid","1/2-1/2",2536,2490
"UzChess Cup Challengers",2025-06-23,"Tokhirjonova,Gulrukhbegim","Theodorou,Nikolas","1/2-1/2",2370,2613
"UzChess Cup Challengers",2025-06-23,"Vakhidov,J","Ma Qun","1/2-1/2",2539,2630
"UzChess Cup Challengers",2025-06-23,"Abasov,N","Ivanchuk,V","1/2-1/2",2594,2634
"2nd UzChess Cup Futures",2025-06-19,"Alekseev,Evgeny","Saydaliev,Saidakbar","1/2-1/2",2520,2450
"2nd UzChess Cup Futures",2025-06-19,"Begmuratov,Khumoyun","Nigmatov,Ortik","1/2-1/2",2470,2474
"2nd UzChess Cup Futures",2025-06-19,"Sychev,K","Chatalbashev,B","1/2-1/2",2513,2489
"2nd UzChess Cup Futures",2025-06-19,"Atabayev,Saparmyrat","Pichot,A","1-0",2517,2588
"2nd UzChess Cup Futures",2025-06-19,"Ruck,R1","Abdisalimov,Abdimalik","1/2-1/2",2515,2490
"2nd UzChess Cup Futures",2025-06-20,"Saydaliev,Saidakbar","Abdisalimov,Abdimalik","1/2-1/2",2450,2490
"2nd UzChess Cup Futures",2025-06-20,"Pichot,A","Ruck,R1","1-0",2588,2515
"2nd UzChess Cup Futures",2025-06-20,"Chatalbashev,B","Atabayev,Saparmyrat","0-1",2489,2517
"2nd UzChess Cup Futures",2025-06-20,"Nigmatov,Ortik","Sychev,K","1-0",2474,2513
"2nd UzChess Cup Futures",2025-06-20,"Alekseev,Evgeny","Begmuratov,Khumoyun","1-0",2520,2470
"2nd UzChess Cup Futures",2025-06-21,"Begmuratov,Khumoyun","Saydaliev,Saidakbar","1-0",2470,2450
"2nd UzChess Cup Futures",2025-06-21,"Sychev,K","Alekseev,Evgeny","1/2-1/2",2513,2520
"2nd UzChess Cup Futures",2025-06-21,"Atabayev,Saparmyrat","Nigmatov,Ortik","0-1",2517,2474
"2nd UzChess Cup Futures",2025-06-21,"Ruck,R1","Chatalbashev,B","1/2-1/2",2515,2489
"2nd UzChess Cup Futures",2025-06-21,"Abdisalimov,Abdimalik","Pichot,A","0-1",2490,2588
"2nd UzChess Cup Futures",2025-06-22,"Saydaliev,Saidakbar","Pichot,A","1-0",2450,2588
"2nd UzChess Cup Futures",2025-06-22,"Chatalbashev,B","Abdisalimov,Abdimalik","1-0",2489,2490
"2nd UzChess Cup Futures",2025-06-22,"Nigmatov,Ortik","Ruck,R1","1-0",2474,2515
"2nd UzChess Cup Futures",2025-06-22,"Alekseev,Evgeny","Atabayev,Saparmyrat","1/2-1/2",2520,2517
"2nd UzChess Cup Futures",2025-06-22,"Begmuratov,Khumoyun","Sychev,K","1/2-1/2",2470,2513
"2nd UzChess Cup Futures",2025-06-23,"Sychev,K","Saydaliev,Saidakbar","1-0",2513,2450
"2nd UzChess Cup Futures",2025-06-23,"Atabayev,Saparmyrat","Begmuratov,Khumoyun","1/2-1/2",2517,2470
"2nd UzChess Cup Futures",2025-06-23,"Ruck,R1","Alekseev,Evgeny","1/2-1/2",2515,2520
"2nd UzChess Cup Futures",2025-06-23,"Abdisalimov,Abdimalik","Nigmatov,Ortik","1-0",2490,2474
"2nd UzChess Cup Futures",2025-06-23,"Pichot,A","Chatalbashev,B","1/2-1/2",2588,2489
"Aurionpro Mumbai IGM Open",2025-06-17,"Kolla Bhaavan","Pantsulaia,L","0-1",1981,2551
"Aurionpro Mumbai IGM Open",2025-06-17,"Petrosyan,M","Prakash,R","1-0",2541,1975
"Aurionpro Mumbai IGM Open",2025-06-17,"Rachit H Gurnani","Paichadze,L","0-1",1976,2529
"Aurionpro Mumbai IGM Open",2025-06-17,"Nikitenko,M","Devesh,Anand Naik","1-0",2520,1974
"Aurionpro Mumbai IGM Open",2025-06-17,"Vyom Malhotra","Lalith,B","0-1",1975,2499
"Aurionpro Mumbai IGM Open",2025-06-17,"Gharibyan,Mamikon","Nishant Abhijeet Jawalkar","1-0",2472,1972
"Aurionpro Mumbai IGM Open",2025-06-17,"Arhan Jain","Savchenko,B","0-1",1973,2456
"Aurionpro Mumbai IGM Open",2025-06-17,"Panesar,Vedant","Vedant Rupeshbhai Varasada","1-0",2456,1968
"Aurionpro Mumbai IGM Open",2025-06-17,"Jagreet Misra","Sanikidze,T","0-1",1971,2425
"Aurionpro Mumbai IGM Open",2025-06-17,"Deepan,C","Medhvansh Madeti","1-0",2410,1950
"Aurionpro Mumbai IGM Open",2025-06-17,"Gadhavi Veerbhadrasinh","Davtyan,Arsen","0-1",1947,2402
"Aurionpro Mumbai IGM Open",2025-06-17,"Nguyen Duc Hoa","Ramanuj Mishra","1-0",2378,1948
"Aurionpro Mumbai IGM Open",2025-06-17,"Gorli Nyna","Slizhevsky,A","0-1",1940,2372
"Aurionpro Mumbai IGM Open",2025-06-17,"Aleksandrov,A","Lakshmi,Charan Naidu G","1-0",2370,1945
"Aurionpro Mumbai IGM Open",2025-06-17,"Gopal Krishna Maheshwari","Fedorov,Alex","0-1",1936,2370
"Aurionpro Mumbai IGM Open",2025-06-17,"Budhidharma,Nayaka","Aditya,P Melani","1-0",2369,1937
"Aurionpro Mumbai IGM Open",2025-06-17,"Vivaan Sardana","Neelotpal,D","0-1",1930,2361
"Aurionpro Mumbai IGM Open",2025-06-17,"Nithin,Babu","Nijesh R","1-0",2360,1931
"Aurionpro Mumbai IGM Open",2025-06-17,"Abhinav Anand","Nguyen Van Huy","0-1",1922,2337
"Aurionpro Mumbai IGM Open",2025-06-17,"Tologontegin,S","Ayush Das","1-0",2322,1929
