"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"407",1225,"OklahomaCity",24,24,24,25,97,"Miami",27,27,20,29,103,6,2013,0
"408",1225,"Houston",27,31,36,26,120,"Chicago",22,19,27,29,97,-23,2013,0
"409",1225,"Denver",26,22,28,24,100,"LAClippers",25,42,26,19,112,12,2013,0
"410",1226,"NewOrleans",26,23,29,19,97,"Orlando",24,29,23,18,94,-3,2013,0
"411",1226,"Cleveland",22,23,23,19,87,"Washington",26,17,25,16,84,-3,2013,0
"412",1226,"Miami",27,28,23,27,105,"Charlotte",18,20,33,21,92,-13,2013,0
"413",1226,"Detroit",13,32,17,39,119,"Atlanta",28,22,31,20,126,7,2013,0
"414",1226,"Philadelphia",26,23,26,24,99,"Memphis",29,18,23,19,89,-10,2013,0
"415",1226,"Brooklyn",24,18,25,26,93,"Milwaukee",22,33,23,30,108,15,2013,0
"416",1226,"Houston",22,22,17,26,87,"Minnesota",17,30,17,20,84,-3,2013,0
"417",1226,"Toronto",18,19,20,23,80,"SanAntonio",22,22,26,30,100,20,2013,0
"418",1226,"NewYork",27,27,22,19,95,"Phoenix",29,15,32,19,95,0,2013,0
"419",1226,"LALakers",26,28,33,27,114,"Denver",29,28,39,30,126,12,2013,0
"420",1226,"GoldenState",24,25,26,19,94,"Utah",19,18,21,25,83,-11,2013,0
"421",1226,"Sacramento",26,18,23,24,91,"Portland",31,31,29,18,109,18,2013,0
"422",1227,"Dallas",29,16,36,17,105,"OklahomaCity",21,22,30,25,111,6,2013,0
"423",1227,"Boston",20,27,20,10,77,"LAClippers",30,30,22,24,106,29,2013,0
"424",1228,"Phoenix",20,24,27,20,91,"Indiana",27,31,17,22,97,6,2013,0
"425",1228,"Orlando",31,20,21,25,97,"Washington",25,29,26,25,105,8,2013,0
"426",1228,"Miami",32,20,19,28,99,"Detroit",17,41,23,28,109,10,2013,0
"427",1228,"Atlanta",25,30,20,27,102,"Cleveland",26,28,26,14,94,-8,2013,0
"428",1228,"Charlotte",15,23,20,23,81,"Brooklyn",33,23,24,17,97,16,2013,0
"429",1228,"Toronto",21,27,22,21,104,"NewOrleans",23,19,22,27,97,-7,2013,0
"430",1228,"Houston",29,36,27,24,116,"SanAntonio",41,28,29,24,122,6,2013,0
"431",1228,"Denver",29,26,32,19,106,"Dallas",18,29,23,15,85,-21,2013,0
"432",1228,"LAClippers",29,19,36,32,116,"Utah",22,36,30,26,114,-2,2013,0
"433",1228,"NewYork",23,27,31,24,105,"Sacramento",32,39,16,19,106,1,2013,0
"434",1228,"Philadelphia",24,18,29,18,89,"GoldenState",25,32,23,16,96,7,2013,0
"435",1228,"Portland",25,23,18,21,87,"LALakers",34,28,26,16,104,17,2013,0
"436",1229,"Indiana",26,22,22,30,100,"Atlanta",33,22,28,26,109,9,2013,0
"437",1229,"Toronto",36,31,20,36,123,"Orlando",21,26,24,17,88,-35,2013,0
"438",1229,"NewOrleans",22,18,33,25,98,"Charlotte",25,32,16,22,95,-3,2013,0
"439",1229,"Cleveland",24,29,21,26,100,"Brooklyn",34,27,18,24,103,3,2013,0
"440",1229,"Washington",26,13,24,14,77,"Chicago",22,23,25,17,87,10,2013,0
